product_name,price_gbp,stock_qty,forecast_units_90_days,forecast_revenue_90_days,stock_risk
Stainless Steel Crystal Bracelet Bangle — Elegant 3-Crystal Women's Jewellery,8.99,0.0,13,116.87,HIGH
Women's Heart Pendant Necklace — Waterproof Stainless Steel Jewellery,8.99,0.0,13,116.87,HIGH
1/2pcs Autumn  Winter Men's High Neck T-shirt Slim Fit Fashion High Elastic Long,8.99,0.0,13,116.87,HIGH
LED Galaxy Projector Night Light — Starry Sky Lamp with Remote Control,8.99,0.0,13,116.87,HIGH
"PhysioRoom Ab Roller Exercise Wheel with Auto Return – Core, Chest, Arms & Shoul",8.99,0.0,13,116.87,HIGH
Smart LED Strip Light Supports App and Remote Control Features RGB Color-changin,8.99,0.0,13,116.87,HIGH
Women's Thermal Velvet Sleeveless Top — Warm Winter Underwear Base Layer,8.99,0.0,13,116.87,HIGH
Smart LED Strip Lights 1m-20m Music Sync RGB 5V with App & Remote Control for Ch,7.99,0.0,14,111.86,HIGH
"LED Strip Lights RGB 3535 ,5V 1M-30M,16 million colors, RGB , Led Strip Lighting",7.99,0.0,14,111.86,HIGH
Underwear Dress Women Striped Perspective Hollow Tight Short Dresses Women Cloth,7.99,0.0,14,111.86,HIGH
Summer men's round neck breathable T-shirt with cartoon bear print pattern suita,7.99,0.0,14,111.86,HIGH
2Pcs HEPA Replacement Filter Activated Carbon Filters for Air Purifier to Remove,7.99,0.0,14,111.86,HIGH
"Hair care serum, gently nourishing, massages the scalp, moisturizes and smooths ",7.99,0.0,14,111.86,HIGH
"Summer innovative design EVA men's shoes, soft and lightweight home slippers, su",7.99,0.0,14,111.86,HIGH
Women's Crystal Zircon Granular Ring — Waterproof Stainless Steel Fine Jewellery,7.99,0.0,14,111.86,HIGH
Scalp Applicator Liquid Comb Portable Liquid Guiding Massager Comb Bottle Applic,7.99,0.0,14,111.86,HIGH
"ANXRE Selfie Stick Travel Tripod with Remote – 360° Rotatable, 41.7"", Compatible",8.49,0.0,13,110.37,HIGH
Mini Scalp Applicator Comb 1-3 Comb Head Massager Roller Ball Brush for Hair Gro,6.99,0.0,15,104.85,HIGH
Stainless Steel Bohemian Anklet — Waterproof Personalised Foot Jewellery,6.99,0.0,15,104.85,HIGH
Mini Portable Scalp Applicator Liquid Comb Hair Roots Massage Medicine Comb Hair,6.99,0.0,15,104.85,HIGH
Women's Square Pendant Necklace — Delicate Stainless Steel Chain,6.99,0.0,15,104.85,HIGH
Women's High-Waist Yoga Shorts — Quick Dry Athletic Leggings,6.99,0.0,15,104.85,HIGH
Sports Water Bottle with Time-Tracking Straw Leak Proof Locking Flip Cover for E,6.99,0.0,15,104.85,HIGH
Adjustable Plastic Dog Collar Waterproof Pet Cat Puppy Collar Kitten Collars 70c,5.99,0.0,16,95.84,HIGH
Retro Men's T-Shirt Gym American Flag Print Casual Crew Neck Short Sleeve Top Ou,5.99,0.0,16,95.84,HIGH
"RAM Ab Abdominal Exercise Roller – ABS Wheel Gym Tool, Compact Home Fitness Trai",5.99,0.0,16,95.84,HIGH
5ML Scalp Applicator Liquid Comb For Hair Growth Serum Oil Nourish Mini Portable,5.99,0.0,16,95.84,HIGH
Silicone Head Scalp Massage Comb Hair Washing Brush Soft Scalp Massager for Hair,4.99,0.0,17,84.83,HIGH
10 Ml Scalp Massage Comb Liquid Serum Oil Brush Nourish Head Hair Growth Hair Re,3.99,0.0,19,75.81,HIGH
Scalp Applicator Liquid Comb Mini Scalp Massage Brush Essential Oil Guiding Mass,3.99,0.0,19,75.81,HIGH
Lenovo AI Wireless Translator Earphones — Real-Time 144 Language Translation,3.99,0.0,19,75.81,HIGH
Women's Clothing Western Tops 2024 hot autumn new waist cinched round neck tight,3.99,0.0,19,75.81,HIGH
Scalp Massage Comb Liquid Serum Oil Brush Nourish Head Hair Growth Hair Regrowth,2.99,0.0,22,65.78,HIGH
